x,y,yaw,image_path,Ripe_scores,Raw_scores,tree_score
0.0,-4.0,4.712389,Screenshot_x_0_y_-4_yaw_4_712389.png,[],[],0.5
0.0,-4.0,4.344593,Screenshot_x_0_y_-4_yaw_4_344593.png,[],[],0.5
0.0,-4.0,3.977454,Screenshot_x_0_y_-4_yaw_3_977454.png,[],[],0.5
0.0,-4.0,3.611291,Screenshot_x_0_y_-4_yaw_3_611291.png,[],[],0.5
0.0,-4.0,3.245917,Screenshot_x_0_y_-4_yaw_3_245917.png,[],[],0.5
0.0,-4.0,2.880745,Screenshot_x_0_y_-4_yaw_2_880745.png,[],[],0.5
0.0,-4.0,2.497652,Screenshot_x_0_y_-4_yaw_2_497652.png,[],[],0.5
0.0,-4.0,2.131016,Screenshot_x_0_y_-4_yaw_2_131016.png,[],[],0.5
0.0,-4.0,1.763498,Screenshot_x_0_y_-4_yaw_1_763498.png,[],[0.7330058813095093],0.5
0.0,-4.0,1.39561,Screenshot_x_0_y_-4_yaw_1_39561.png,[],[0.6682929396629333],0.5
0.0,-4.0,1.02806,Screenshot_x_0_y_-4_yaw_1_02806.png,[],[],0.5
0.0,-4.0,0.6613763,Screenshot_x_0_y_-4_yaw_0_6613763.png,[],[],0.5
0.0,-4.0,0.2782442,Screenshot_x_0_y_-4_yaw_0_2782442.png,[],[],0.5
0.0,-4.0,6.196249,Screenshot_x_0_y_-4_yaw_6_196249.png,[],[],0.5
0.0,-4.0,5.8309,Screenshot_x_0_y_-4_yaw_5_8309.png,[],[],0.5
0.0,-4.0,5.464783,Screenshot_x_0_y_-4_yaw_5_464783.png,[],[],0.5
0.0,-4.0,5.097688,Screenshot_x_0_y_-4_yaw_5_097688.png,[],[],0.5
0.0,-4.0,4.712389,Screenshot_x_0_y_-4_yaw_4_712389.png,[],[],0.5
1.36808,-3.75877,5.062682,Screenshot_x_1_36808_y_-3_75877_yaw_5_062682.png,[],[],0.5
1.36808,-3.75877,4.694869,Screenshot_x_1_36808_y_-3_75877_yaw_4_694869.png,[],[],0.5
1.36808,-3.75877,4.32709,Screenshot_x_1_36808_y_-3_75877_yaw_4_32709.png,[],[],0.5
1.36808,-3.75877,3.959995,Screenshot_x_1_36808_y_-3_75877_yaw_3_959995.png,[],[],0.5
1.36808,-3.75877,3.593878,Screenshot_x_1_36808_y_-3_75877_yaw_3_593878.png,[],[],0.5
1.36808,-3.75877,3.228529,Screenshot_x_1_36808_y_-3_75877_yaw_3_228529.png,[],[],0.5
1.36808,-3.75877,2.845951,Screenshot_x_1_36808_y_-3_75877_yaw_2_845951.png,[],[],0.5
1.36808,-3.75877,2.480217,Screenshot_x_1_36808_y_-3_75877_yaw_2_480217.png,[],[],0.5
1.36808,-3.75877,2.113533,Screenshot_x_1_36808_y_-3_75877_yaw_2_113533.png,[],"[0.7497573494911194, 0.7419874668121338, 0.6771469116210938, 0.6464934349060059]",0.49
1.36808,-3.75877,1.745982,Screenshot_x_1_36808_y_-3_75877_yaw_1_745982.png,[],"[0.8199567198753357, 0.7907123565673828, 0.7884674668312073]",0.5
